id,sender,event_type,height,initial_claimable_amount,claimable_at_event,amount_claimed,lost_amount
907,evmos15xx7jxdzj784dfmph9ya4dyr7hwhvamk26e55p,ACTION_IBC_TRANSFER,4234904,1.11914407860868e+20,1.11914407860868e+20,1.047483159573721e+19,1.750377036947979e+19
817,evmos162rrlty48uku654hc9uf2ylt2ld4q8xgz5dy6e,ACTION_IBC_TRANSFER,3790073,2.954444241950395e+20,2.954444241950395e+20,4.348372798975782e+19,3.0377378059002053e+19
877,evmos165fg0dqgjv8gl3atekpa24a3506crggg0t5906,ACTION_IBC_TRANSFER,4149577,1.8353001633417147e+20,1.8353001633417147e+20,2.2025433657600885e+19,2.3857070425941983e+19
836,evmos168rekxwddsq5ns0n2l9f2st5ruxjrlr3yptdcn,ACTION_IBC_TRANSFER,3911618,5.1927323991677554e+20,5.1927323991677554e+20,5.6689342108796985e+19,7.31289678703969e+19
862,evmos16evj3ehu7huzxlm0wnp7y9z2ytu70xhzkujc9v,ACTION_IBC_TRANSFER,4063542,1.8353001633417147e+20,1.8353001633417147e+20,1.7522909394129496e+19,2.8359594689413374e+19
765,evmos16hq4anj0r07q60dq8ma4evhlw7pymh02czxw5m,ACTION_IBC_TRANSFER,3474364,1.8353001633417147e+20,1.8353001633417147e+20,3.02399784222267e+19,1.564252566131617e+19
797,evmos16mq7xv5074xk2w6hyghuap7l7rdajd7lknyjuf,ACTION_IBC_TRANSFER,3668302,4.073588320559075e+20,4.073588320559075e+20,5.5912384146665366e+19,4.592732386731151e+19
682,evmos16nsxy6mwevx2lj8z8jfrphy0x4d9zpc8xlx7g3,ACTION_IBC_TRANSFER,2879690,6.871448517080775e+20,6.871448517080775e+20,1.3754334751499362e+20,3.424286541202576e+19
864,evmos16qg0c3k3fywt7luahk6ftyexms4fdxmrkavp2r,ACTION_IBC_TRANSFER,4092163,1.8353001633417147e+20,1.8353001633417147e+20,2.2918542272468505e+19,2.2963961811074363e+19
834,evmos16s94n689w54l98w4tjuhk5a54v6uxswdhesmxf,ACTION_IBC_TRANSFER,3890119,1.0228880752906817e+21,1.0228880752906817e+21,1.11116993235596e+20,1.4460502558707442e+20
921,evmos16wyxutdvf9cxqk42f9d2u669p3sajeaxkyuy7a,ACTION_IBC_TRANSFER,4327296,1.8353001633417147e+20,1.8353001633417147e+20,1.337459328688421e+19,3.2507910796658655e+19
902,evmos16zurkhzzuxa8z863w67w0uv4kwyyck2tr3m672,ACTION_IBC_TRANSFER,4197392,5.1927323991677554e+20,5.1927323991677554e+20,4.292828501319743e+19,8.689002496599645e+19
412,evmos179mlm4rps8rz0zc9xf2pkjx95f9supqgpmdnnl,ACTION_IBC_TRANSFER,282961,1.8353001633417147e+20,1.8353001633417147e+20,3.5391338360871805e+19,1.0491165722671063e+19
841,evmos17a7unyn33zewpknwukqygc6vt2ewj4swxlvmx5,ACTION_IBC_TRANSFER,3974567,2.954444241950395e+20,2.954444241950395e+20,3.028696033913795e+19,4.357414570962192e+19
776,evmos17drar8jn9395zwxyk54n4nrnh5pggq2tc0zss2,ACTION_IBC_TRANSFER,3555779,1.8353001633417147e+20,1.8353001633417147e+20,3.3872947281527276e+19,1.2009556802015592e+19
993,evmos17e4luvdafaj9zf3ly7g7aqdtk7hu2ljzvphkxd,ACTION_IBC_TRANSFER,4712414,1.8353001633417147e+20,1.8353001633417147e+20,2.3523098881760535e+19,2.2359405201782333e+19
783,evmos17f97r0759lwwnn9semw73rdmgad7jzdezh7a5l,ACTION_IBC_TRANSFER,3598185,1.8353001633417147e+20,1.8353001633417147e+20,2.5732124825970946e+19,2.015037925757192e+19
932,evmos17g6papuw6x04ev82myj83l6wx9vvcu3q9fg5rh,ACTION_IBC_TRANSFER,4348415,1.8353001633417147e+20,1.8353001633417147e+20,1.2063377237761346e+19,3.3819126845781524e+19
659,evmos17qslkk7p9dztmt8dt8wtn7rg56umvatmptya2x,ACTION_IBC_TRANSFER,2749122,1.8353001633417147e+20,1.8353001633417147e+20,4.466429768992946e+19,1.2182063936134103e+18
894,evmos17rtd7njfhzqvflqj5trggk734wljzwxfeyze5f,ACTION_IBC_TRANSFER,4156891,1.8353001633417147e+20,1.8353001633417147e+20,1.8112838787368518e+19,2.776966529617435e+19
963,evmos17svxdmjg45gj0ghegtzkptlfcuqe8sy5hpec45,ACTION_IBC_TRANSFER,4477937,1.8353001633417147e+20,1.8353001633417147e+20,1.1313073318078046e+19,3.456943076546482e+19
388,evmos1846asz0qfrl3ktwyf9u2wkpzmgcs9klgracamv,ACTION_IBC_TRANSFER,281410,1.8353001633417147e+20,1.8353001633417147e+20,3.547404636309303e+19,1.040845772044984e+19
225,evmos1856mterrqagdj3w38u2zrg93849v0ey3shean7,ACTION_IBC_TRANSFER,274769,5.1927323991677554e+20,5.1927323991677554e+20,7.952614949678298e+19,5.0292160482410906e+19
1020,evmos185gq4ur4hvmnvr2h9f6pxcu6vl0chsvscg0h0q,ACTION_IBC_TRANSFER,5026594,1.8353001633417147e+20,1.8353001633417147e+20,3.1126102727801257e+18,4.276989381076274e+19
586,evmos187cnwd75l53gfa0yxlvnn5aqj4t3p6juk6t9n0,ACTION_IBC_TRANSFER,2458432,2.23828815721736e+20,2.23828815721736e+20,5.500051677424704e+19,9.56687156186964e+17
106,evmos188kxacfnp4sc4rnuescpzdk2t3w327024qjlzd,ACTION_IBC_TRANSFER,274426,1.8353001633417147e+20,1.8353001633417147e+20,4.303545013494999e+19,2.8470539485928817e+18
668,evmos18dzfphl03a895hag8wyx97sepuly67esfhx2ya,ACTION_IBC_TRANSFER,2796612,4.073588320559075e+20,4.073588320559075e+20,8.748742387671474e+19,1.4352284137262137e+19
922,evmos18ftcgpfmflcqpmy79vlqnenxhmz6na5uts4dtm,ACTION_IBC_TRANSFER,4327417,2.954444241950395e+20,2.954444241950395e+20,2.6772340771589874e+19,4.708876527717e+19
955,evmos18h4kx4935mae7hk3a677e6pssz36aksx0yvd3t,ACTION_IBC_TRANSFER,4465765,6.871448517080775e+20,6.871448517080775e+20,3.817057129358931e+19,1.3361564163343008e+20
